
Date,Client,CloudProvider,ResourceType,UsageHours,CostUSD,Region
2025-03-08,Client_4,AWS,Storage,220.21,6.12,us-west-2
2025-03-09,Client_8,OCI,Storage,377.93,7.76,us-east-1
2025-03-10,Client_7,Azure,Database,379.73,48.29,us-west-2
2025-03-11,Client_9,Azure,Storage,60.53,1.41,us-west-2
2025-03-12,Client_8,Azure,Storage,452.25,12.57,eu-west-1
2025-03-13,Client_5,GCP,Storage,257.57,5.67,asia-south-1
2025-03-14,Client_2,GCP,Compute,414.96,33.81,asia-south-1
2025-03-15,Client_5,OCI,Compute,166.82,17.11,us-west-2
2025-03-16,Client_8,OCI,Compute,448.81,34.94,eu-west-1
2025-03-17,Client_10,AWS,Database,200.71,20.43,us-west-2
2025-03-18,Client_9,AWS,AI,15.31,-1.65,us-west-2
2025-03-19,Client_9,OCI,Storage,453.64,11.62,us-west-2
2025-03-20,Client_1,GCP,Storage,54.73,2.3,eu-west-1
2025-03-21,Client_9,Azure,Database,166.46,22.02,asia-south-1
2025-03-22,Client_7,OCI,Storage,475.53,6.64,eu-west-1
2025-03-23,Client_9,AWS,Compute,475.8,34.43,us-east-1
2025-03-24,Client_8,GCP,AI,290.98,53.34,eu-west-1
2025-03-25,Client_1,OCI,Networking,319.6,14.49,eu-west-1
2025-03-26,Client_8,OCI,Storage,229.74,5.49,eu-west-1
2025-03-27,Client_8,GCP,Compute,153.67,11.22,eu-west-1
2025-03-28,Client_3,OCI,Networking,171.05,7.93,asia-south-1
2025-03-29,Client_1,GCP,AI,339.53,71.95,us-east-1
2025-03-30,Client_8,Azure,Networking,378.66,17.42,asia-south-1
2025-03-31,Client_3,GCP,Compute,397.87,31.97,asia-south-1
2025-04-01,Client_3,GCP,Networking,396.91,22.68,eu-west-1
2025-04-02,Client_1,GCP,Database,54.69,5.53,us-west-2
2025-04-03,Client_5,OCI,Networking,252.27,13.83,us-west-2
2025-04-04,Client_10,OCI,Storage,38.2,4.39,asia-south-1
2025-04-05,Client_7,GCP,Storage,279.27,10.08,asia-south-1
2025-04-06,Client_10,OCI,Database,226.35,23.63,eu-west-1
2025-04-07,Client_9,AWS,Compute,444.98,39.86,asia-south-1
2025-04-08,Client_7,AWS,Storage,181.95,3.56,eu-west-1
2025-04-09,Client_9,OCI,AI,67.36,11.05,us-west-2
2025-04-10,Client_8,OCI,Storage,80.07,1.19,us-west-2
2025-04-11,Client_2,GCP,Storage,383.14,12.46,us-east-1
2025-04-12,Client_1,Azure,Compute,312.93,24.96,us-west-2
2025-04-13,Client_7,OCI,Networking,59.55,1.27,asia-south-1
2025-04-14,Client_7,AWS,Storage,51.21,2.36,us-west-2
2025-04-15,Client_8,GCP,Database,353.47,39.82,eu-west-1
2025-04-16,Client_5,OCI,Networking,45.65,-1.96,us-west-2
2025-04-17,Client_3,AWS,AI,412.71,78.83,us-east-1
2025-04-18,Client_8,AWS,Compute,356.06,24.77,us-west-2
2025-04-19,Client_6,Azure,AI,49.86,6.49,eu-west-1
2025-04-20,Client_3,GCP,Networking,51.57,-1.03,eu-west-1
2025-04-21,Client_1,GCP,Networking,493.45,26.08,asia-south-1
2025-04-22,Client_3,Azure,Networking,193.39,6.49,us-west-2
2025-04-23,Client_5,Azure,AI,191.61,36.78,eu-west-1
2025-04-24,Client_3,GCP,Networking,408.27,24.38,us-east-1
2025-04-25,Client_1,GCP,AI,474.15,94.57,asia-south-1
2025-04-26,Client_5,OCI,Networking,493.14,26.33,us-east-1
2025-04-27,Client_10,OCI,Database,379.16,42.22,us-west-2
2025-04-28,Client_7,Azure,Networking,194.37,6.64,us-west-2
2025-04-29,Client_7,OCI,AI,50.92,5.59,us-west-2
2025-04-30,Client_9,AWS,Storage,390.8,4.51,asia-south-1
2025-05-01,Client_10,OCI,Networking,283.62,11.97,eu-west-1
2025-05-02,Client_10,OCI,Storage,217.87,1.13,asia-south-1
2025-05-03,Client_3,AWS,Database,454.11,50.38,us-east-1
2025-05-04,Client_7,Azure,Compute,64.49,1.37,asia-south-1
2025-05-05,Client_1,AWS,Database,251.39,29.77,us-east-1
2025-05-06,Client_4,OCI,Networking,15.56,-2.16,asia-south-1
2025-05-07,Client_4,Azure,Storage,239.64,3.44,eu-west-1
2025-05-08,Client_5,OCI,Storage,37.59,0.79,us-east-1
2025-05-09,Client_7,AWS,AI,68.22,15.55,us-west-2
2025-05-10,Client_7,AWS,Storage,67.59,-3.26,us-west-2
2025-05-11,Client_4,OCI,AI,328.11,68.62,asia-south-1
2025-05-12,Client_7,GCP,Compute,375.56,31.32,us-west-2
2025-05-13,Client_3,GCP,Networking,295.85,10.61,us-east-1
2025-05-14,Client_6,AWS,AI,481.46,100.03,us-west-2
2025-05-15,Client_2,AWS,Compute,193.69,19.7,eu-west-1
2025-05-16,Client_10,GCP,Storage,150.0,-1.39,eu-west-1
2025-05-17,Client_9,GCP,Storage,435.61,6.48,asia-south-1
2025-05-18,Client_5,OCI,Compute,119.56,12.63,us-east-1
2025-05-19,Client_6,OCI,Storage,481.98,12.12,eu-west-1
2025-05-20,Client_4,GCP,Compute,15.96,-1.88,eu-west-1
2025-05-21,Client_10,OCI,AI,485.24,94.14,us-east-1
2025-05-22,Client_7,OCI,AI,31.15,4.93,us-west-2
2025-05-23,Client_9,Azure,Compute,446.66,35.58,us-west-2
2025-05-24,Client_7,OCI,AI,268.57,54.9,asia-south-1
2025-05-25,Client_1,AWS,AI,496.55,98.0,us-west-2
2025-05-26,Client_1,OCI,AI,46.16,8.86,us-east-1
2025-05-27,Client_9,OCI,Database,281.39,36.24,eu-west-1
2025-05-28,Client_9,GCP,Networking,484.96,19.61,us-west-2
2025-05-29,Client_4,AWS,Storage,266.32,2.85,asia-south-1
2025-05-30,Client_9,OCI,Database,318.41,40.34,us-west-2
